"region_id","region_name","rule_group","rule_priority","criterion_id","criterion_role","feature_name","source_product","source_field_or_derivation","operator","threshold_low","threshold_high","reference_value","unit","config_key","condition_expression","usable_with_current_local_data","code_status","threshold_basis","weight","description_cn","paper_body_pages","paper_pdf_pages","notes"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_03","support","planetary_heavy_ion_dominance","STATIC c6-32e64m","combined O+, O2+ and CO2+ flux fraction","greater_equal","","","","fraction","IONOSPHERE_MIN_HEAVY_ION_FRACTION","planetary_heavy_ion_flux_fraction >= IONOSPHERE_MIN_HEAVY_ION_FRACTION","1","feature_extractor_required","calibration_required","5","O2+、O+、CO2+ 等行星重离子占优","34,54-55","35,55-56","STATIC 质量分辨率需先验证 O2+ 与 CO2+ 的可分性"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_04","support","cold_planetary_ion_energy","STATIC c6-32e64m","planetary-heavy-ion energy-flux peak","less_than","","10","10","eV","","heavy_ion_peak_energy_eV < 10","1","feature_extractor_required","paper_threshold","4","进入电离层时离子能量可降至约 10 eV 以下","54-55","55-56","需处理 STATIC spacecraft potential 和最低能道有效性"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_05","support","photoelectron_present","shape_parameter_method","away_shape_class and toward_shape_class","equal","","","true","boolean","","away_shape_class == 'Phe' or toward_shape_class == 'Phe'","1","existing_derived_output","project_existing_rule","5","20–30 eV 光电子谱形是日侧电离层的重要 tracer","54-55","55-56","当前 shape parameter 是方向谱判据"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_06","support","superthermal_electron_suppression","magnetic_topology_table_method","superthermal_electron_void","equal","","","true","boolean","","superthermal_electron_void == true","1","existing_derived_output","project_current_threshold","3","30 eV 以上电子通量下降支持电离层判断","55","56","当前项目在约 40 eV 使用绝对通量阈值 1e5；需用标注数据复核"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_07","support","inside_ionopause_or_peb","MAG ss1s position + ionopause/PEB model","position relative to modeled boundary","equal","","","true","boolean","","inside_ionopause_or_peb == true","0","missing_ionopause_peb_model","paper_geometry","3","位于 ionopause/PEB 内侧","54-55","55-56","论文指出 ionopause 与 PEB 不一定共位"
"3","Ionosphere","R3_NIGHTSIDE_IONOSPHERE","31","R3N_01","required","nightside","PAD_score_method from MAG ss1s position","sza_deg","greater_equal","90","","90","deg","","sza_deg >= 90","1","existing_derived_output","geometry_definition","0","夜侧电离层分支","62-64","63-65","夜侧不能要求光电子峰"
"3","Ionosphere","R3_NIGHTSIDE_IONOSPHERE","31","R3N_02","support","ionospheric_altitude","PAD_score_method from MAG ss1s position","altitude_km","between_inclusive","100","400","","km","","100 <= altitude_km <= 400","1","existing_derived_output","paper_typical_range","4","低高度支持夜侧电离层判断","32,62-64","33,63-65","夜侧边界更不规则"
"3","Ionosphere","R3_NIGHTSIDE_IONOSPHERE","31","R3N_03","support","planetary_heavy_ion_dominance","STATIC c6-32e64m","combined O+, O2+ and CO2+ flux fraction","greater_equal","","","","fraction","IONOSPHERE_MIN_HEAVY_ION_FRACTION","planetary_heavy_ion_flux_fraction >= IONOSPHERE_MIN_HEAVY_ION_FRACTION","1","feature_extractor_required","calibration_required","5","行星重离子是区分夜侧电离层与 lobe 的核心证据","34,62-64","35,63-65","夜侧光电子可能缺失，因此提高重离子证据权重"
"3","Ionosphere","R3_NIGHTSIDE_IONOSPHERE","31","R3N_04","support","cold_planetary_ion_energy","STATIC c6-32e64m","planetary-heavy-ion energy-flux peak","less_than","","10","10","eV","","heavy_ion_peak_energy_eV < 10","1","feature_extractor_required","paper_threshold","4","冷的低能行星离子支持电离层","54-55,62-64","55-56,63-65","与 current/plasma sheet 中 keV 级行星离子区分"
"3","Ionosphere","R3_NIGHTSIDE_IONOSPHERE","31","R3N_05","support","electron_depletion","magnetic_topology_table_method","superthermal_electron_void","equal","","","true","boolean","","superthermal_electron_void == true","1","existing_derived_output","project_current_threshold","2","夜侧电离层可出现显著 electron depletion","62-64","63-65","低电子通量不能单独区分夜侧电离层和 lobe"
"3","Ionosphere","R3_NIGHTSIDE_IONOSPHERE","31","R3N_06","reject","solar_wind_narrow_beam","STATIC c6-32e64m","H+ peak energy and log-energy width","equal","","","true","boolean","SOLAR_WIND_MAX_HPLUS_LOG_WIDTH","hplus_peak_energy_eV > 1000 and hplus_log_energy_width < SOLAR_WIND_MAX_HPLUS_LOG_WIDTH","1","feature_extractor_required","mixed_paper_and_calibration","0","存在典型高速窄太阳风束时拒绝夜侧电离层规则","49","50","reject 条件命中即淘汰该 rule_group"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_01","required","nightside","PAD_score_method from MAG ss1s position","sza_deg","greater_equal","90","","90","deg","","sza_deg >= 90","1","existing_derived_output","geometry_definition","0","磁尾 lobe 必须位于夜侧","56","57","SZA 来自 MSO 位置"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_02","support","tailward_position","MAG ss1s position","x_mso_km","less_than","","0","0","km","","x_mso_km < 0","1","feature_extractor_required","geometry_definition","3","位于反太阳方向磁尾","56","57","x_mso_km 尚未写入当前融合 CSV，但原始 MAG 可直接提供"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_03","support","inside_tail_boundary","MAG ss1s position + wake/MPB extension model","position relative to modeled tail boundary","equal","","","true","boolean","","inside_tail_boundary == true","0","missing_tail_boundary_model","paper_geometry","3","位于 bow shock 内侧的诱导磁尾","56","57","模型接入后可提高权重"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_04","support","lobe_magnetic_field_strength","MAG ss1s","rolling median norm([Bx,By,Bz])","approximately","","","10","nT","LOBE_B_MIN_NT;LOBE_B_MAX_NT","LOBE_B_MIN_NT <= b_magnitude_median_nT <= LOBE_B_MAX_NT","1","feature_extractor_required","calibration_required","3","lobe 磁场典型约 10 nT","56","57","论文只给典型值，范围必须用标注事件校准"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_05","support","ordered_magnetic_field","MAG ss1s","rolling directional dispersion and relative |B| std","less_than","","","","deg/fraction","LOBE_MAX_DIRECTION_DISPERSION_DEG;LOBE_MAX_B_REL_STD","b_direction_dispersion_deg < LOBE_MAX_DIRECTION_DISPERSION_DEG and b_relative_std < LOBE_MAX_B_REL_STD","1","feature_extractor_required","calibration_required","4","单个 lobe 内磁场相对稳定、有序","56","57","应使用时间窗口而非单点"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_06","support","stable_to_away_polarity","MAG ss1s","rolling sign and stability of Bx_MSO","equal","","","true","boolean","LOBE_MIN_ABS_BX_NT;LOBE_MAX_POLARITY_FLIP_RATE","abs(bx_mso_median_nT) >= LOBE_MIN_ABS_BX_NT and bx_polarity_flip_rate <= LOBE_MAX_POLARITY_FLIP_RATE","1","feature_extractor_required","calibration_required","4","磁场具有稳定太阳向或反太阳向极性","56","57","不要复用现有 field_direction；该字段相对火星径向，不等同于太阳向/反太阳向"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_07","support","photoelectron_absent","shape_parameter_method","away_shape_class and toward_shape_class","equal","","","true","boolean","","away_shape_class == 'SWe' and toward_shape_class == 'SWe'","1","existing_derived_output","project_existing_rule","2","lobe 通常缺少稳定日侧光电子谱形","49,56","50,57","低电子通量本身不能区分 lobe 与夜侧电离层"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_08","reject","solar_wind_narrow_beam","STATIC c6-32e64m","H+ peak energy and log-energy width","equal","","","true","boolean","SOLAR_WIND_MAX_HPLUS_LOG_WIDTH","hplus_peak_energy_eV > 1000 and hplus_log_energy_width < SOLAR_WIND_MAX_HPLUS_LOG_WIDTH","1","feature_extractor_required","mixed_paper_and_calibration","0","存在典型上游高速窄质子束时拒绝 lobe 规则","49,56","50,57","reject 条件命中即淘汰该 rule_group"
"4","Magnetic lobes","R4_MAGNETIC_LOBE","40","R4_09","reject","current_sheet_signature","MAG ss1s","rolling |B| minimum plus B-component sign reversal","equal","","","true","boolean","CURRENT_SHEET_WINDOW_S;CURRENT_SHEET_B_DIP_RATIO","b_magnitude_dip and magnetic_component_reversal","1","feature_extractor_required","calibration_required","0","current sheet 中心不作为稳定 lobe","56","57","命中后转入 U0_CURRENT_SHEET，或另设子标签"
